SndOrRecOrDrop  time  type  seq  size  ack
Receive  1.092  普通应答包  0  0  83
Drop  1.093  数据包  62  104  0
Send  1.095  数据包  85  104  0
Send  1.095  数据包  84  104  0
Receive  1.096  普通应答包  0  0  85
Receive  1.096  普通应答包  0  0  84
Send  1.096  数据包  86  104  0
Receive  1.096  普通应答包  0  0  86
Send  1.099  数据包  87  104  0
Receive  1.099  普通应答包  0  0  87
Send  1.099  数据包  89  104  0
Receive  1.099  普通应答包  0  0  89
Send  1.1  数据包  88  104  0
Receive  1.101  普通应答包  0  0  88
Send  1.103  数据包  90  104  0
Receive  1.104  普通应答包  0  0  90
Send  1.104  数据包  41  104  0
Receive  1.104  普通应答包  0  0  41
Send  1.105  数据包  91  104  0
Receive  1.105  普通应答包  0  0  91
Send  1.105  数据包  73  104  0
Receive  1.105  普通应答包  0  0  73
Send  1.106  数据包  92  104  0
Receive  1.106  普通应答包  0  0  92
Send  1.109  数据包  95  104  0
Send  1.109  数据包  93  104  0
Send  1.109  数据包  94  104  0
Send  1.11  数据包  97  104  0
Send  1.11  数据包  96  104  0
Receive  1.112  普通应答包  0  0  95
Drop  1.112  数据包  75  104  0
Send  1.112  数据包  77  104  0
Receive  1.112  普通应答包  0  0  93
Drop  1.112  数据包  52  104  0
Receive  1.112  普通应答包  0  0  94
Receive  1.113  普通应答包  0  0  97
Receive  1.113  普通应答包  0  0  96
Receive  1.113  普通应答包  0  0  77
Send  1.115  数据包  81  104  0
Send  1.115  数据包  98  104  0
Receive  1.115  普通应答包  0  0  81
Send  1.115  数据包  103  104  0
Receive  1.115  普通应答包  0  0  98
Send  1.115  数据包  99  104  0
Receive  1.115  普通应答包  0  0  103
Drop  1.116  数据包  102  104  0
Send  1.116  数据包  100  104  0
Send  1.117  数据包  82  104  0
Send  1.117  数据包  104  104  0
Send  1.117  数据包  105  104  0
Send  1.117  数据包  106  104  0
Send  1.117  数据包  101  104  0
Send  1.12  数据包  62  104  0
Receive  1.122  普通应答包  0  0  99
Receive  1.122  普通应答包  0  0  100
Receive  1.122  普通应答包  0  0  82
Receive  1.123  普通应答包  0  0  104
Receive  1.123  普通应答包  0  0  105
Receive  1.123  普通应答包  0  0  106
Receive  1.124  普通应答包  0  0  101
Receive  1.124  普通应答包  0  0  62
Send  1.126  数据包  111  104  0
Send  1.126  数据包  107  104  0
Send  1.126  数据包  110  104  0
Receive  1.126  普通应答包  0  0  111
Receive  1.126  普通应答包  0  0  107
Send  1.126  数据包  112  104  0
Send  1.127  数据包  114  104  0
Send  1.127  数据包  108  104  0
Receive  1.127  普通应答包  0  0  110
Send  1.127  数据包  109  104  0
Receive  1.127  普通应答包  0  0  112
Receive  1.127  普通应答包  0  0  114
Receive  1.128  普通应答包  0  0  108
Drop  1.128  数据包  113  104  0
Receive  1.128  普通应答包  0  0  109
Drop  1.131  数据包  115  104  0
Send  1.131  数据包  121  104  0
Receive  1.131  普通应答包  0  0  121
Drop  1.131  数据包  119  104  0
Send  1.132  数据包  116  104  0
Receive  1.132  普通应答包  0  0  116
Send  1.132  数据包  117  104  0
Receive  1.132  普通应答包  0  0  117
Send  1.132  数据包  120  104  0
Send  1.133  数据包  118  104  0
Receive  1.133  普通应答包  0  0  120
Receive  1.133  普通应答包  0  0  118
Send  1.136  数据包  122  104  0
Send  1.136  数据包  124  104  0
Receive  1.136  普通应答包  0  0  122
Receive  1.136  普通应答包  0  0  124
Drop  1.137  数据包  125  104  0
Send  1.137  数据包  123  104  0
Send  1.137  数据包  126  104  0
Receive  1.137  普通应答包  0  0  123
Receive  1.137  普通应答包  0  0  126
Send  1.14  数据包  129  104  0
Send  1.14  数据包  127  104  0
Receive  1.14  普通应答包  0  0  129
Receive  1.14  普通应答包  0  0  127
Drop  1.14  数据包  130  104  0
Send  1.14  数据包  128  104  0
Receive  1.141  普通应答包  0  0  128
Send  1.143  数据包  75  104  0
Receive  1.143  普通应答包  0  0  75
