SndOrRecOrDrop  time  type  seq  size  ack
Send  9.025  普通应答包  0  0  378
Receive  9.026  数据包  384  104  0
Send  9.026  普通应答包  0  0  384
Receive  9.026  数据包  380  104  0
Send  9.026  普通应答包  0  0  380
Receive  9.026  数据包  383  104  0
Send  9.026  普通应答包  0  0  383
Receive  9.026  数据包  381  104  0
Send  9.026  普通应答包  0  0  381
Receive  9.029  数据包  386  104  0
Send  9.029  普通应答包  0  0  386
Receive  9.029  数据包  385  104  0
Send  9.029  普通应答包  0  0  385
Receive  9.032  数据包  391  104  0
Send  9.032  普通应答包  0  0  391
Receive  9.035  数据包  392  104  0
Send  9.035  普通应答包  0  0  392
Receive  9.043  数据包  393  104  0
Send  9.044  普通应答包  0  0  393
Receive  9.049  数据包  374  104  0
Send  9.049  普通应答包  0  0  374
Receive  9.049  数据包  377  104  0
Send  9.049  普通应答包  0  0  377
Receive  9.049  数据包  376  104  0
Send  9.049  普通应答包  0  0  376
Receive  9.05  数据包  372  104  0
Send  9.05  普通应答包  0  0  372
Receive  9.05  数据包  394  104  0
Send  9.05  普通应答包  0  0  394
Receive  9.052  数据包  395  104  0
Send  9.052  普通应答包  0  0  395
Receive  9.053  数据包  382  104  0
Send  9.053  普通应答包  0  0  382
Receive  9.053  数据包  398  104  0
Send  9.053  普通应答包  0  0  398
Receive  9.053  数据包  379  104  0
Send  9.053  普通应答包  0  0  379
Receive  9.053  数据包  396  104  0
Send  9.053  普通应答包  0  0  396
Receive  9.053  数据包  399  104  0
Send  9.053  普通应答包  0  0  399
Receive  9.056  数据包  402  104  0
Send  9.057  普通应答包  0  0  402
Receive  9.057  数据包  405  104  0
Send  9.057  普通应答包  0  0  405
Receive  9.057  数据包  404  104  0
Send  9.057  普通应答包  0  0  404
Receive  9.06  数据包  387  104  0
Send  9.06  普通应答包  0  0  387
Receive  9.073  数据包  406  104  0
Send  9.073  普通应答包  0  0  406
Receive  9.073  数据包  408  104  0
Send  9.073  普通应答包  0  0  408
Receive  9.074  数据包  409  104  0
Send  9.074  普通应答包  0  0  409
Receive  9.074  数据包  407  104  0
Send  9.074  普通应答包  0  0  407
Receive  9.076  数据包  412  104  0
Send  9.076  普通应答包  0  0  412
Receive  9.076  数据包  411  104  0
Send  9.076  普通应答包  0  0  411
Receive  9.077  数据包  413  104  0
Send  9.077  普通应答包  0  0  413
Receive  9.079  数据包  416  104  0
Send  9.079  普通应答包  0  0  416
Receive  9.079  数据包  414  104  0
Send  9.08  普通应答包  0  0  414
Receive  9.08  数据包  415  104  0
Send  9.08  普通应答包  0  0  415
Receive  9.082  数据包  397  104  0
Send  9.083  普通应答包  0  0  397
Receive  9.088  数据包  401  104  0
Send  9.088  普通应答包  0  0  401
Receive  9.089  数据包  403  104  0
Send  9.089  普通应答包  0  0  403
Receive  9.091  数据包  389  104  0
Send  9.091  普通应答包  0  0  389
Receive  9.091  数据包  388  104  0
Send  9.091  普通应答包  0  0  388
Receive  9.094  数据包  424  104  0
Send  9.094  普通应答包  0  0  424
Receive  9.094  数据包  390  104  0
Send  9.094  普通应答包  0  0  390
Receive  9.094  数据包  419  104  0
Send  9.094  普通应答包  0  0  419
Receive  9.094  数据包  420  104  0
Send  9.094  普通应答包  0  0  420
Receive  9.095  数据包  423  104  0
Send  9.095  普通应答包  0  0  423
Receive  9.097  数据包  425  104  0
Send  9.097  普通应答包  0  0  425
Receive  9.097  数据包  428  104  0
Send  9.097  普通应答包  0  0  428
Receive  9.098  数据包  427  104  0
Send  9.098  普通应答包  0  0  427
Receive  9.098  数据包  429  104  0
Send  9.098  普通应答包  0  0  429
Receive  9.098  数据包  426  104  0
Send  9.098  普通应答包  0  0  426
Receive  9.101  数据包  434  104  0
Send  9.101  普通应答包  0  0  434
Receive  9.101  数据包  432  104  0
Send  9.101  普通应答包  0  0  432
Receive  9.101  数据包  433  104  0
Send  9.101  普通应答包  0  0  433
Receive  9.104  数据包  435  104  0
Send  9.104  普通应答包  0  0  435
Receive  9.104  数据包  437  104  0
Send  9.104  普通应答包  0  0  437
Receive  9.104  数据包  436  104  0
Send  9.104  普通应答包  0  0  436
Receive  9.107  数据包  439  104  0
Send  9.107  普通应答包  0  0  439
Receive  9.107  数据包  410  104  0
Send  9.107  普通应答包  0  0  410
Receive  9.107  数据包  438  104  0
Send  9.107  普通应答包  0  0  438
Receive  9.11  数据包  441  104  0
Send  9.11  普通应答包  0  0  441
Receive  9.11  数据包  443  104  0
Send  9.11  普通应答包  0  0  443
Receive  9.113  数据包  444  104  0
Send  9.113  普通应答包  0  0  444
Receive  9.114  数据包  445  104  0
Send  9.114  普通应答包  0  0  445
Receive  9.12  数据包  447  104  0
Send  9.12  普通应答包  0  0  447
Receive  9.123  数据包  417  104  0
Send  9.124  普通应答包  0  0  417
Receive  9.124  数据包  418  104  0
Send  9.124  普通应答包  0  0  418
Receive  9.124  数据包  422  104  0
Send  9.124  普通应答包  0  0  422
Receive  9.125  数据包  421  104  0
Send  9.125  普通应答包  0  0  421
Receive  9.131  数据包  431  104  0
Send  9.131  普通应答包  0  0  431
Receive  9.141  数据包  440  104  0
Send  9.142  普通应答包  0  0  440
Receive  9.142  数据包  442  104  0
Send  9.142  普通应答包  0  0  442
Receive  9.147  数据包  450  104  0
Send  9.147  普通应答包  0  0  450
Receive  9.149  数据包  452  104  0
Send  9.149  普通应答包  0  0  452
Receive  9.149  数据包  451  104  0
Send  9.149  普通应答包  0  0  451
Receive  9.15  数据包  449  104  0
Send  9.15  普通应答包  0  0  449
Receive  9.15  数据包  400  104  0
Send  9.15  普通应答包  0  0  400
Receive  9.15  数据包  446  104  0
Send  9.15  普通应答包  0  0  446
Receive  9.153  数据包  459  104  0
Send  9.153  普通应答包  0  0  459
Receive  9.153  数据包  460  104  0
Send  9.153  普通应答包  0  0  460
Receive  9.153  数据包  461  104  0
Send  9.153  普通应答包  0  0  461
Receive  9.154  数据包  456  104  0
Send  9.154  普通应答包  0  0  456
Receive  9.18  数据包  462  104  0
Send  9.18  普通应答包  0  0  462
Receive  9.194  数据包  430  104  0
Send  9.194  普通应答包  0  0  430
Receive  9.194  数据包  466  104  0
Send  9.194  普通应答包  0  0  466
Receive  9.194  数据包  455  104  0
Send  9.195  普通应答包  0  0  455
Receive  9.195  数据包  464  104  0
Send  9.195  普通应答包  0  0  464
Receive  9.195  数据包  453  104  0
Send  9.195  普通应答包  0  0  453
Receive  9.195  数据包  448  104  0
Send  9.195  普通应答包  0  0  448
Receive  9.196  数据包  465  104  0
Send  9.196  普通应答包  0  0  465
Receive  9.196  数据包  454  104  0
Send  9.196  普通应答包  0  0  454
Receive  9.201  数据包  458  104  0
Send  9.201  普通应答包  0  0  458
Receive  9.202  数据包  470  104  0
Send  9.202  普通应答包  0  0  470
Receive  9.202  数据包  474  104  0
Send  9.202  普通应答包  0  0  474
Receive  9.203  数据包  473  104  0
Send  9.203  普通应答包  0  0  473
Receive  9.203  数据包  472  104  0
Send  9.203  普通应答包  0  0  472
Receive  9.203  数据包  457  104  0
Send  9.204  普通应答包  0  0  457
Receive  9.204  数据包  471  104  0
Send  9.204  普通应答包  0  0  471
Receive  9.219  数据包  475  104  0
Send  9.22  普通应答包  0  0  475
Receive  9.22  数据包  480  104  0
Send  9.22  普通应答包  0  0  480
Receive  9.22  数据包  478  104  0
Send  9.22  普通应答包  0  0  478
Receive  9.22  数据包  477  104  0
Send  9.22  普通应答包  0  0  477
Receive  9.226  数据包  482  104  0
Send  9.226  普通应答包  0  0  482
Receive  9.226  数据包  485  104  0
Send  9.227  普通应答包  0  0  485
Receive  9.227  数据包  483  104  0
Send  9.227  普通应答包  0  0  483
Receive  9.23  数据包  468  104  0
Send  9.23  普通应答包  0  0  468
Receive  9.23  数据包  467  104  0
Send  9.23  普通应答包  0  0  467
Receive  9.23  数据包  469  104  0
Send  9.231  普通应答包  0  0  469
Receive  9.233  数据包  487  104  0
Send  9.234  普通应答包  0  0  487
Receive  9.234  数据包  490  104  0
Send  9.234  普通应答包  0  0  490
Receive  9.234  数据包  491  104  0
Send  9.234  普通应答包  0  0  491
Receive  9.234  数据包  486  104  0
Send  9.234  普通应答包  0  0  486
Receive  9.234  数据包  488  104  0
Send  9.234  普通应答包  0  0  488
Receive  9.245  数据包  476  104  0
Send  9.246  普通应答包  0  0  476
Receive  9.246  数据包  481  104  0
Send  9.246  普通应答包  0  0  481
Receive  9.261  数据包  463  104  0
Send  9.261  普通应答包  0  0  463
Receive  9.263  数据包  499  104  0
Send  9.263  普通应答包  0  0  499
Receive  9.264  数据包  495  104  0
Send  9.264  普通应答包  0  0  495
Receive  9.264  数据包  492  104  0
Send  9.264  普通应答包  0  0  492
Receive  9.265  数据包  498  104  0
Send  9.265  普通应答包  0  0  498
Receive  9.265  数据包  496  104  0
Send  9.265  普通应答包  0  0  496
Receive  9.267  数据包  493  104  0
Send  9.268  普通应答包  0  0  493
Receive  9.268  数据包  489  104  0
Send  9.268  普通应答包  0  0  489
Receive  9.268  数据包  497  104  0
Send  9.268  普通应答包  0  0  497
Receive  9.268  数据包  494  104  0
Send  9.268  普通应答包  0  0  494
Receive  9.271  数据包  503  104  0
Send  9.271  普通应答包  0  0  503
Receive  9.271  数据包  500  104  0
Send  9.271  普通应答包  0  0  500
Receive  9.271  数据包  501  104  0
Send  9.271  普通应答包  0  0  501
Receive  9.272  数据包  505  104  0
Send  9.272  普通应答包  0  0  505
Receive  9.272  数据包  507  104  0
Send  9.272  普通应答包  0  0  507
Receive  9.272  数据包  508  104  0
Send  9.272  普通应答包  0  0  508
Receive  9.273  数据包  506  104  0
Send  9.273  普通应答包  0  0  506
Receive  9.275  数据包  479  104  0
Send  9.276  普通应答包  0  0  479
Receive  9.278  数据包  510  104  0
Send  9.278  普通应答包  0  0  510
Receive  9.278  数据包  511  104  0
Send  9.278  普通应答包  0  0  511
Receive  9.278  数据包  516  104  0
Send  9.278  普通应答包  0  0  516
Receive  9.279  数据包  514  104  0
Send  9.279  普通应答包  0  0  514
Receive  9.279  数据包  515  104  0
Send  9.279  普通应答包  0  0  515
Receive  9.283  数据包  519  104  0
Send  9.286  普通应答包  0  0  519
Receive  9.287  数据包  517  104  0
Send  9.288  普通应答包  0  0  517
Receive  9.293  数据包  484  104  0
Send  9.293  普通应答包  0  0  484
Receive  9.294  数据包  518  104  0
Send  9.294  普通应答包  0  0  518
Receive  9.294  数据包  520  104  0
Send  9.294  普通应答包  0  0  520
Receive  9.294  数据包  522  104  0
Send  9.294  普通应答包  0  0  522
Receive  9.294  数据包  523  104  0
Send  9.295  普通应答包  0  0  523
Receive  9.297  数据包  526  104  0
Send  9.297  普通应答包  0  0  526
Receive  9.297  数据包  525  104  0
Send  9.297  普通应答包  0  0  525
Receive  9.299  数据包  524  104  0
Send  9.299  普通应答包  0  0  524
Receive  9.299  数据包  527  104  0
Send  9.299  普通应答包  0  0  527
Receive  9.299  数据包  528  104  0
Send  9.299  普通应答包  0  0  528
Receive  9.302  数据包  504  104  0
Send  9.302  普通应答包  0  0  504
Receive  9.303  数据包  502  104  0
Send  9.303  普通应答包  0  0  502
Receive  9.303  数据包  531  104  0
Send  9.303  普通应答包  0  0  531
Receive  9.303  数据包  529  104  0
Send  9.304  普通应答包  0  0  529
Receive  9.304  数据包  533  104  0
Send  9.304  普通应答包  0  0  533
Receive  9.304  数据包  532  104  0
Send  9.304  普通应答包  0  0  532
Receive  9.307  数据包  539  104  0
Send  9.307  普通应答包  0  0  539
Receive  9.307  数据包  536  104  0
Send  9.307  普通应答包  0  0  536
Receive  9.307  数据包  534  104  0
Send  9.307  普通应答包  0  0  534
Receive  9.307  数据包  538  104  0
Send  9.307  普通应答包  0  0  538
Receive  9.31  数据包  512  104  0
Send  9.31  普通应答包  0  0  512
Receive  9.31  数据包  541  104  0
Send  9.31  普通应答包  0  0  541
Receive  9.31  数据包  513  104  0
Send  9.31  普通应答包  0  0  513
Receive  9.31  数据包  542  104  0
Send  9.31  普通应答包  0  0  542
Receive  9.31  数据包  540  104  0
Send  9.31  普通应答包  0  0  540
Receive  9.31  数据包  543  104  0
Send  9.31  普通应答包  0  0  543
Receive  9.313  数据包  549  104  0
Send  9.313  普通应答包  0  0  549
Receive  9.313  数据包  521  104  0
Send  9.313  普通应答包  0  0  521
Receive  9.313  数据包  545  104  0
Send  9.313  普通应答包  0  0  545
Receive  9.313  数据包  547  104  0
Send  9.313  普通应答包  0  0  547
Receive  9.313  数据包  546  104  0
Send  9.313  普通应答包  0  0  546
Receive  9.313  数据包  544  104  0
Send  9.313  普通应答包  0  0  544
Receive  9.316  数据包  552  104  0
Send  9.316  普通应答包  0  0  552
Receive  9.316  数据包  554  104  0
Send  9.316  普通应答包  0  0  554
Receive  9.316  数据包  555  104  0
Send  9.316  普通应答包  0  0  555
Receive  9.317  数据包  551  104  0
Send  9.317  普通应答包  0  0  551
Receive  9.32  数据包  557  104  0
Send  9.32  普通应答包  0  0  557
Receive  9.32  数据包  558  104  0
Send  9.32  普通应答包  0  0  558
Receive  9.32  数据包  556  104  0
Send  9.32  普通应答包  0  0  556
Receive  9.32  数据包  559  104  0
Send  9.32  普通应答包  0  0  559
Receive  9.323  数据包  562  104  0
Send  9.323  普通应答包  0  0  562
Receive  9.323  数据包  563  104  0
Send  9.323  普通应答包  0  0  563
Receive  9.323  数据包  561  104  0
Send  9.324  普通应答包  0  0  561
Receive  9.324  数据包  560  104  0
Send  9.324  普通应答包  0  0  560
Receive  9.326  数据包  566  104  0
Send  9.326  普通应答包  0  0  566
Receive  9.327  数据包  564  104  0
Send  9.327  普通应答包  0  0  564
Receive  9.327  数据包  565  104  0
Send  9.327  普通应答包  0  0  565
Receive  9.33  数据包  570  104  0
Send  9.33  普通应答包  0  0  570
Receive  9.33  数据包  568  104  0
Send  9.33  普通应答包  0  0  568
Receive  9.339  数据包  537  104  0
Send  9.339  普通应答包  0  0  537
Receive  9.339  数据包  571  104  0
Send  9.339  普通应答包  0  0  571
Receive  9.342  数据包  535  104  0
Send  9.343  普通应答包  0  0  535
Receive  9.346  数据包  573  104  0
Send  9.346  普通应答包  0  0  573
Receive  9.346  数据包  548  104  0
Send  9.346  普通应答包  0  0  548
Receive  9.346  数据包  553  104  0
Send  9.346  普通应答包  0  0  553
Receive  9.347  数据包  509  104  0
Send  9.347  普通应答包  0  0  509
Receive  9.347  数据包  576  104  0
Send  9.348  普通应答包  0  0  576
Receive  9.349  数据包  578  104  0
Send  9.349  普通应答包  0  0  578
Receive  9.35  数据包  580  104  0
Send  9.35  普通应答包  0  0  580
Receive  9.35  数据包  579  104  0
Send  9.35  普通应答包  0  0  579
Receive  9.366  数据包  581  104  0
Send  9.366  普通应答包  0  0  581
Receive  9.367  数据包  530  104  0
Send  9.367  普通应答包  0  0  530
Receive  9.367  数据包  583  104  0
Send  9.367  普通应答包  0  0  583
Receive  9.367  数据包  569  104  0
Send  9.368  普通应答包  0  0  569
Receive  9.368  数据包  584  104  0
Send  9.369  普通应答包  0  0  584
Receive  9.374  数据包  588  104  0
Send  9.374  普通应答包  0  0  588
Receive  9.374  数据包  585  104  0
Send  9.375  普通应答包  0  0  585
Receive  9.375  数据包  575  104  0
Send  9.375  普通应答包  0  0  575
Receive  9.383  数据包  567  104  0
Send  9.384  普通应答包  0  0  567
Receive  9.39  数据包  591  104  0
Send  9.393  普通应答包  0  0  591
Receive  9.395  数据包  593  104  0
Send  9.395  普通应答包  0  0  593
Receive  9.396  数据包  582  104  0
Send  9.396  普通应答包  0  0  582
Receive  9.397  数据包  592  104  0
Send  9.397  普通应答包  0  0  592
Receive  9.397  数据包  587  104  0
Send  9.397  普通应答包  0  0  587
Receive  9.398  数据包  572  104  0
Send  9.398  普通应答包  0  0  572
Receive  9.398  数据包  595  104  0
Send  9.398  普通应答包  0  0  595
Receive  9.399  数据包  574  104  0
Send  9.399  普通应答包  0  0  574
Receive  9.4  数据包  599  104  0
Send  9.4  普通应答包  0  0  599
Receive  9.4  数据包  600  104  0
Send  9.401  普通应答包  0  0  600
Receive  9.401  数据包  596  104  0
Send  9.401  普通应答包  0  0  596
Receive  9.401  数据包  598  104  0
Send  9.402  普通应答包  0  0  598
Receive  9.402  数据包  597  104  0
Send  9.402  普通应答包  0  0  597
Receive  9.402  数据包  603  104  0
Send  9.402  普通应答包  0  0  603
Receive  9.402  数据包  601  104  0
Send  9.402  普通应答包  0  0  601
Receive  9.402  数据包  594  104  0
Send  9.402  普通应答包  0  0  594
Receive  9.403  数据包  604  104  0
Send  9.403  普通应答包  0  0  604
Receive  9.403  数据包  577  104  0
Send  9.403  普通应答包  0  0  577
Receive  9.403  数据包  586  104  0
Send  9.403  普通应答包  0  0  586
Receive  9.403  数据包  589  104  0
Send  9.403  普通应答包  0  0  589
Receive  9.406  数据包  608  104  0
Send  9.407  普通应答包  0  0  608
Receive  9.407  数据包  611  104  0
Send  9.407  普通应答包  0  0  611
Receive  9.407  数据包  609  104  0
Send  9.407  普通应答包  0  0  609
Receive  9.407  数据包  590  104  0
Send  9.407  普通应答包  0  0  590
Receive  9.407  数据包  606  104  0
Send  9.407  普通应答包  0  0  606
Receive  9.408  数据包  607  104  0
Send  9.408  普通应答包  0  0  607
Receive  9.408  数据包  610  104  0
Send  9.408  普通应答包  0  0  610
Receive  9.408  数据包  612  104  0
Send  9.408  普通应答包  0  0  612
Receive  9.408  数据包  614  104  0
Send  9.408  普通应答包  0  0  614
Receive  9.408  数据包  615  104  0
Send  9.408  普通应答包  0  0  615
Receive  9.408  数据包  613  104  0
Send  9.408  普通应答包  0  0  613
Receive  9.408  数据包  616  104  0
Send  9.409  普通应答包  0  0  616
Receive  9.409  数据包  550  104  0
Send  9.409  普通应答包  0  0  550
Receive  9.412  数据包  625  104  0
Send  9.412  普通应答包  0  0  625
Receive  9.412  数据包  618  104  0
Send  9.412  普通应答包  0  0  618
Receive  9.412  数据包  617  104  0
Send  9.412  普通应答包  0  0  617
Receive  9.413  数据包  623  104  0
Send  9.413  普通应答包  0  0  623
Receive  9.413  数据包  619  104  0
Send  9.413  普通应答包  0  0  619
Receive  9.413  数据包  621  104  0
Send  9.413  普通应答包  0  0  621
Receive  9.413  数据包  624  104  0
Send  9.413  普通应答包  0  0  624
Receive  9.413  数据包  622  104  0
Send  9.413  普通应答包  0  0  622
Receive  9.413  数据包  628  104  0
Send  9.413  普通应答包  0  0  628
Receive  9.414  数据包  627  104  0
Send  9.414  普通应答包  0  0  627
Receive  9.414  数据包  631  104  0
Send  9.414  普通应答包  0  0  631
Receive  9.414  数据包  626  104  0
Send  9.414  普通应答包  0  0  626
Receive  9.414  数据包  629  104  0
Send  9.414  普通应答包  0  0  629
Receive  9.414  数据包  630  104  0
Send  9.414  普通应答包  0  0  630
Receive  9.417  数据包  637  104  0
Send  9.417  普通应答包  0  0  637
Receive  9.418  数据包  636  104  0
Send  9.418  普通应答包  0  0  636
Receive  9.418  数据包  635  104  0
Send  9.418  普通应答包  0  0  635
Receive  9.419  数据包  638  104  0
Send  9.419  普通应答包  0  0  638
Receive  9.419  数据包  639  104  0
Send  9.419  普通应答包  0  0  639
Receive  9.419  数据包  632  104  0
Send  9.419  普通应答包  0  0  632
Receive  9.423  数据包  643  104  0
Send  9.423  普通应答包  0  0  643
Receive  9.423  数据包  642  104  0
Send  9.423  普通应答包  0  0  642
Receive  9.423  数据包  644  104  0
Send  9.423  普通应答包  0  0  644
Receive  9.425  数据包  641  104  0
Send  9.425  普通应答包  0  0  641
Receive  9.426  数据包  647  104  0
Send  9.426  普通应答包  0  0  647
Receive  9.427  数据包  648  104  0
Send  9.427  普通应答包  0  0  648
Receive  9.427  数据包  646  104  0
Send  9.427  普通应答包  0  0  646
Receive  9.438  数据包  602  104  0
Send  9.438  普通应答包  0  0  602
Receive  9.438  数据包  651  104  0
Send  9.438  普通应答包  0  0  651
Receive  9.438  数据包  652  104  0
Send  9.438  普通应答包  0  0  652
Receive  9.439  数据包  650  104  0
Send  9.439  普通应答包  0  0  650
Receive  9.439  数据包  605  104  0
Send  9.439  普通应答包  0  0  605
Receive  9.446  数据包  656  104  0
Send  9.446  普通应答包  0  0  656
Receive  9.446  数据包  620  104  0
Send  9.446  普通应答包  0  0  620
Receive  9.447  数据包  653  104  0
Send  9.447  普通应答包  0  0  653
Receive  9.447  数据包  655  104  0
Send  9.447  普通应答包  0  0  655
Receive  9.447  数据包  658  104  0
Send  9.447  普通应答包  0  0  658
Receive  9.448  数据包  660  104  0
Send  9.448  普通应答包  0  0  660
Receive  9.451  数据包  633  104  0
Send  9.451  普通应答包  0  0  633
Receive  9.451  数据包  640  104  0
Send  9.451  普通应答包  0  0  640
Receive  9.451  数据包  661  104  0
Send  9.451  普通应答包  0  0  661
Receive  9.451  数据包  662  104  0
Send  9.452  普通应答包  0  0  662
Receive  9.452  数据包  663  104  0
Send  9.452  普通应答包  0  0  663
Receive  9.452  数据包  634  104  0
Send  9.452  普通应答包  0  0  634
Receive  9.452  数据包  645  104  0
Send  9.452  普通应答包  0  0  645
Receive  9.453  数据包  657  104  0
Send  9.454  普通应答包  0  0  657
Receive  9.454  数据包  669  104  0
Send  9.454  普通应答包  0  0  669
Receive  9.454  数据包  665  104  0
Send  9.454  普通应答包  0  0  665
Receive  9.454  数据包  668  104  0
Send  9.454  普通应答包  0  0  668
Receive  9.454  数据包  670  104  0
Send  9.454  普通应答包  0  0  670
Receive  9.455  数据包  659  104  0
Send  9.455  普通应答包  0  0  659
Receive  9.46  数据包  672  104  0
Send  9.46  普通应答包  0  0  672
Receive  9.46  数据包  649  104  0
Send  9.46  普通应答包  0  0  649
Receive  9.461  数据包  673  104  0
Send  9.461  普通应答包  0  0  673
Receive  9.461  数据包  674  104  0
Send  9.461  普通应答包  0  0  674
Receive  9.461  数据包  675  104  0
Send  9.461  普通应答包  0  0  675
Receive  9.462  数据包  671  104  0
Send  9.462  普通应答包  0  0  671
Receive  9.462  数据包  678  104  0
Send  9.462  普通应答包  0  0  678
Receive  9.462  数据包  677  104  0
Send  9.463  普通应答包  0  0  677
Receive  9.463  数据包  681  104  0
Send  9.463  普通应答包  0  0  681
Receive  9.471  数据包  683  104  0
Send  9.471  普通应答包  0  0  683
Receive  9.471  数据包  684  104  0
Send  9.471  普通应答包  0  0  684
Receive  9.472  数据包  685  104  0
Send  9.472  普通应答包  0  0  685
Receive  9.472  数据包  654  104  0
Send  9.472  普通应答包  0  0  654
Receive  9.475  数据包  687  104  0
Send  9.475  普通应答包  0  0  687
Receive  9.475  数据包  688  104  0
Send  9.475  普通应答包  0  0  688
Receive  9.478  数据包  690  104  0
Send  9.478  普通应答包  0  0  690
Receive  9.478  数据包  691  104  0
Send  9.478  普通应答包  0  0  691
Receive  9.481  数据包  693  104  0
Send  9.481  普通应答包  0  0  693
Receive  9.484  数据包  666  104  0
Send  9.484  普通应答包  0  0  666
Receive  9.487  数据包  695  104  0
Send  9.487  普通应答包  0  0  695
Receive  9.49  数据包  696  104  0
Send  9.49  普通应答包  0  0  696
Receive  9.49  数据包  676  104  0
Send  9.49  普通应答包  0  0  676
Receive  9.492  数据包  698  104  0
Send  9.492  普通应答包  0  0  698
Receive  9.495  数据包  699  104  0
Send  9.495  普通应答包  0  0  699
Receive  9.496  数据包  679  104  0
Send  9.496  普通应答包  0  0  679
Receive  9.496  数据包  680  104  0
Send  9.496  普通应答包  0  0  680
Receive  9.498  数据包  701  104  0
Send  9.498  普通应答包  0  0  701
Receive  9.499  数据包  700  104  0
Send  9.499  普通应答包  0  0  700
Receive  9.501  数据包  704  104  0
Send  9.501  普通应答包  0  0  704
Receive  9.501  数据包  703  104  0
Send  9.501  普通应答包  0  0  703
Receive  9.504  数据包  705  104  0
Send  9.505  普通应答包  0  0  705
Receive  9.505  数据包  706  104  0
Send  9.505  普通应答包  0  0  706
Receive  9.507  数据包  686  104  0
Send  9.507  普通应答包  0  0  686
Receive  9.508  数据包  708  104  0
Send  9.508  普通应答包  0  0  708
Receive  9.508  数据包  689  104  0
Send  9.508  普通应答包  0  0  689
Receive  9.51  数据包  710  104  0
Send  9.51  普通应答包  0  0  710
Receive  9.51  数据包  711  104  0
Send  9.511  普通应答包  0  0  711
Receive  9.513  数据包  692  104  0
Send  9.513  普通应答包  0  0  692
Receive  9.513  数据包  712  104  0
Send  9.514  普通应答包  0  0  712
Receive  9.516  数据包  664  104  0
Send  9.516  普通应答包  0  0  664
Receive  9.516  数据包  714  104  0
Send  9.516  普通应答包  0  0  714
Receive  9.517  数据包  694  104  0
Send  9.517  普通应答包  0  0  694
Receive  9.517  数据包  667  104  0
Send  9.517  普通应答包  0  0  667
Receive  9.517  数据包  715  104  0
Send  9.517  普通应答包  0  0  715
Receive  9.52  数据包  719  104  0
Send  9.52  普通应答包  0  0  719
Receive  9.52  数据包  716  104  0
Send  9.52  普通应答包  0  0  716
Receive  9.52  数据包  717  104  0
Send  9.52  普通应答包  0  0  717
Receive  9.521  数据包  718  104  0
Send  9.521  普通应答包  0  0  718
Receive  9.521  数据包  720  104  0
Send  9.521  普通应答包  0  0  720
Receive  9.524  数据包  724  104  0
Send  9.524  普通应答包  0  0  724
Receive  9.524  数据包  697  104  0
Send  9.524  普通应答包  0  0  697
Receive  9.524  数据包  721  104  0
Send  9.524  普通应答包  0  0  721
Receive  9.524  数据包  723  104  0
Send  9.524  普通应答包  0  0  723
Receive  9.525  数据包  725  104  0
Send  9.525  普通应答包  0  0  725
Receive  9.528  数据包  726  104  0
Send  9.528  普通应答包  0  0  726
Receive  9.528  数据包  728  104  0
Send  9.528  普通应答包  0  0  728
Receive  9.528  数据包  682  104  0
Send  9.528  普通应答包  0  0  682
Receive  9.528  数据包  730  104  0
Send  9.528  普通应答包  0  0  730
Receive  9.529  数据包  702  104  0
Send  9.529  普通应答包  0  0  702
Receive  9.529  数据包  727  104  0
Send  9.529  普通应答包  0  0  727
Receive  9.532  数据包  733  104  0
Send  9.532  普通应答包  0  0  733
Receive  9.533  数据包  735  104  0
Send  9.533  普通应答包  0  0  735
Receive  9.533  数据包  736  104  0
Send  9.533  普通应答包  0  0  736
Receive  9.534  数据包  734  104  0
Send  9.534  普通应答包  0  0  734
Receive  9.534  数据包  731  104  0
Send  9.535  普通应答包  0  0  731
Receive  9.535  数据包  732  104  0
Send  9.535  普通应答包  0  0  732
Receive  9.537  数据包  737  104  0
Send  9.538  普通应答包  0  0  737
Receive  9.538  数据包  738  104  0
Send  9.538  普通应答包  0  0  738
Receive  9.538  数据包  707  104  0
Send  9.538  普通应答包  0  0  707
Receive  9.538  数据包  741  104  0
Send  9.538  普通应答包  0  0  741
Receive  9.538  数据包  742  104  0
Send  9.538  普通应答包  0  0  742
Receive  9.541  数据包  709  104  0
Send  9.541  普通应答包  0  0  709
Receive  9.541  数据包  747  104  0
Send  9.541  普通应答包  0  0  747
Receive  9.541  数据包  743  104  0
Send  9.541  普通应答包  0  0  743
Receive  9.541  数据包  745  104  0
Send  9.541  普通应答包  0  0  745
Receive  9.541  数据包  746  104  0
Send  9.541  普通应答包  0  0  746
Receive  9.544  数据包  751  104  0
Send  9.544  普通应答包  0  0  751
Receive  9.544  数据包  750  104  0
Send  9.544  普通应答包  0  0  750
Receive  9.544  数据包  752  104  0
Send  9.544  普通应答包  0  0  752
Receive  9.544  数据包  713  104  0
Send  9.544  普通应答包  0  0  713
Receive  9.544  数据包  748  104  0
Send  9.544  普通应答包  0  0  748
Receive  9.547  数据包  755  104  0
Send  9.547  普通应答包  0  0  755
Receive  9.547  数据包  756  104  0
Send  9.547  普通应答包  0  0  756
Receive  9.547  数据包  754  104  0
Send  9.547  普通应答包  0  0  754
Receive  9.548  数据包  757  104  0
Send  9.548  普通应答包  0  0  757
Receive  9.551  数据包  761  104  0
Send  9.551  普通应答包  0  0  761
